cell,cellid,ET_X,ET_Y,SubPopulat
c40790,40790,513400,2846600,A
c40791,40791,513800,2846600,A
c40792,40792,514200,2846600,A
c40793,40793,514600,2846600,A
c40794,40794,515000,2846600,A
c40795,40795,515400,2846600,A
c40796,40796,515800,2846600,A
c40797,40797,516200,2846600,A
c40798,40798,516600,2846600,A
c40971,40971,513400,2846200,A
c40972,40972,513800,2846200,A
c40973,40973,514200,2846200,A
c40974,40974,514600,2846200,A
c40975,40975,515000,2846200,A
c40976,40976,515400,2846200,A
c40977,40977,515800,2846200,A
c40978,40978,516200,2846200,A
c40979,40979,516600,2846200,A
c40980,40980,517000,2846200,A
c41143,41143,510200,2845800,A
c41151,41151,513400,2845800,A
c41152,41152,513800,2845800,A
c41153,41153,514200,2845800,A
c41154,41154,514600,2845800,A
c41155,41155,515000,2845800,A
c41156,41156,515400,2845800,A
c41157,41157,515800,2845800,A
c41158,41158,516200,2845800,A
c41159,41159,516600,2845800,A
c41160,41160,517000,2845800,A
c41320,41320,509400,2845400,A
c41321,41321,509800,2845400,A
c41322,41322,510200,2845400,A
c41323,41323,510600,2845400,A
c41324,41324,511000,2845400,A
c41325,41325,511400,2845400,A
c41326,41326,511800,2845400,A
c41327,41327,512200,2845400,A
c41328,41328,512600,2845400,A
c41329,41329,513000,2845400,A
c41330,41330,513400,2845400,A
c41331,41331,513800,2845400,A
c41332,41332,514200,2845400,A
c41333,41333,514600,2845400,A
c41334,41334,515000,2845400,A
c41335,41335,515400,2845400,A
c41336,41336,515800,2845400,A
c41337,41337,516200,2845400,A
c41338,41338,516600,2845400,A
c41499,41499,509400,2845000,A
c41500,41500,509800,2845000,A
c41501,41501,510200,2845000,A
c41502,41502,510600,2845000,A
c41503,41503,511000,2845000,A
c41504,41504,511400,2845000,A
c41505,41505,511800,2845000,A
c41506,41506,512200,2845000,A
c41507,41507,512600,2845000,A
c41508,41508,513000,2845000,A
c41509,41509,513400,2845000,A
c41510,41510,513800,2845000,A
c41511,41511,514200,2845000,A
c41512,41512,514600,2845000,A
c41513,41513,515000,2845000,A
c41514,41514,515400,2845000,A
c41515,41515,515800,2845000,A
c41516,41516,516200,2845000,A
c41517,41517,516600,2845000,A
c41676,41676,509000,2844600,A
c41677,41677,509400,2844600,A
c41678,41678,509800,2844600,A
c41679,41679,510200,2844600,A
c41680,41680,510600,2844600,A
c41681,41681,511000,2844600,A
c41682,41682,511400,2844600,A
c41683,41683,511800,2844600,A
c41684,41684,512200,2844600,A
c41685,41685,512600,2844600,A
c41686,41686,513000,2844600,A
c41687,41687,513400,2844600,A
c41688,41688,513800,2844600,A
c41689,41689,514200,2844600,A
c41690,41690,514600,2844600,A
c41691,41691,515000,2844600,A
c41692,41692,515400,2844600,A
c41693,41693,515800,2844600,A
c41694,41694,516200,2844600,A
c41695,41695,516600,2844600,A
c41852,41852,508600,2844200,A
c41853,41853,509000,2844200,A
c41854,41854,509400,2844200,A
c41855,41855,509800,2844200,A
c41856,41856,510200,2844200,A
c41857,41857,510600,2844200,A
c41858,41858,511000,2844200,A
c41859,41859,511400,2844200,A
c41860,41860,511800,2844200,A
c41861,41861,512200,2844200,A
c41862,41862,512600,2844200,A
c41863,41863,513000,2844200,A
c41864,41864,513400,2844200,A
c41865,41865,513800,2844200,A
c41866,41866,514200,2844200,A
c41867,41867,514600,2844200,A
c41868,41868,515000,2844200,A
c41869,41869,515400,2844200,A
c41870,41870,515800,2844200,A
c41871,41871,516200,2844200,A
c41872,41872,516600,2844200,A
c42029,42029,508600,2843800,A
c42030,42030,509000,2843800,A
c42031,42031,509400,2843800,A
c42032,42032,509800,2843800,A
c42033,42033,510200,2843800,A
c42034,42034,510600,2843800,A
c42035,42035,511000,2843800,A
c42036,42036,511400,2843800,A
c42037,42037,511800,2843800,A
c42038,42038,512200,2843800,A
c42039,42039,512600,2843800,A
c42040,42040,513000,2843800,A
c42041,42041,513400,2843800,A
c42042,42042,513800,2843800,A
c42043,42043,514200,2843800,A
c42044,42044,514600,2843800,A
c42045,42045,515000,2843800,A
c42046,42046,515400,2843800,A
c42047,42047,515800,2843800,A
c42048,42048,516200,2843800,A
c42049,42049,516600,2843800,A
c42205,42205,508600,2843400,A
c42206,42206,509000,2843400,A
c42207,42207,509400,2843400,A
c42208,42208,509800,2843400,A
c42209,42209,510200,2843400,A
c42210,42210,510600,2843400,A
c42211,42211,511000,2843400,A
c42212,42212,511400,2843400,A
c42213,42213,511800,2843400,A
c42214,42214,512200,2843400,A
c42215,42215,512600,2843400,A
c42216,42216,513000,2843400,A
c42217,42217,513400,2843400,A
c42218,42218,513800,2843400,A
c42219,42219,514200,2843400,A
c42220,42220,514600,2843400,A
c42221,42221,515000,2843400,A
c42222,42222,515400,2843400,A
c42223,42223,515800,2843400,A
c42224,42224,516200,2843400,A
c42225,42225,516600,2843400,A
c42329,42329,488200,2843000,A
c42330,42330,488600,2843000,A
c42331,42331,489000,2843000,A
c42332,42332,489400,2843000,A
c42333,42333,489800,2843000,A
