cell,cellid,ET_X,ET_Y,SubPopulat
c40619,40619,517800,2847000,A1
c40620,40620,518200,2847000,A1
c40621,40621,518600,2847000,A1
c40622,40622,519000,2847000,A1
c40625,40625,520200,2847000,A1
c40626,40626,520600,2847000,A1
c40627,40627,521000,2847000,A1
c40628,40628,521400,2847000,A1
c40797,40797,516200,2846600,A1
c40798,40798,516600,2846600,A1
c40799,40799,517000,2846600,A1
c40800,40800,517400,2846600,A1
c40801,40801,517800,2846600,A1
c40802,40802,518200,2846600,A1
c40803,40803,518600,2846600,A1
c40804,40804,519000,2846600,A1
c40805,40805,519400,2846600,A1
c40806,40806,519800,2846600,A1
c40807,40807,520200,2846600,A1
c40808,40808,520600,2846600,A1
c40809,40809,521000,2846600,A1
c40810,40810,521400,2846600,A1
c40977,40977,515800,2846200,A1
c40978,40978,516200,2846200,A1
c40979,40979,516600,2846200,A1
c40980,40980,517000,2846200,A1
c40981,40981,517400,2846200,A1
c40982,40982,517800,2846200,A1
c40983,40983,518200,2846200,A1
c40984,40984,518600,2846200,A1
c40985,40985,519000,2846200,A1
c40986,40986,519400,2846200,A1
c40987,40987,519800,2846200,A1
c40988,40988,520200,2846200,A1
c40989,40989,520600,2846200,A1
c40990,40990,521000,2846200,A1
c40991,40991,521400,2846200,A1
c41155,41155,515000,2845800,A1
c41156,41156,515400,2845800,A1
c41157,41157,515800,2845800,A1
c41158,41158,516200,2845800,A1
c41159,41159,516600,2845800,A1
c41160,41160,517000,2845800,A1
c41161,41161,517400,2845800,A1
c41162,41162,517800,2845800,A1
c41163,41163,518200,2845800,A1
c41164,41164,518600,2845800,A1
c41165,41165,519000,2845800,A1
c41166,41166,519400,2845800,A1
c41167,41167,519800,2845800,A1
c41168,41168,520200,2845800,A1
c41169,41169,520600,2845800,A1
c41170,41170,521000,2845800,A1
c41171,41171,521400,2845800,A1
c41333,41333,514600,2845400,A1
c41334,41334,515000,2845400,A1
c41335,41335,515400,2845400,A1
c41336,41336,515800,2845400,A1
c41337,41337,516200,2845400,A1
c41338,41338,516600,2845400,A1
c41339,41339,517000,2845400,A1
c41340,41340,517400,2845400,A1
c41341,41341,517800,2845400,A1
c41342,41342,518200,2845400,A1
c41343,41343,518600,2845400,A1
c41344,41344,519000,2845400,A1
c41345,41345,519400,2845400,A1
c41346,41346,519800,2845400,A1
c41347,41347,520200,2845400,A1
c41348,41348,520600,2845400,A1
c41349,41349,521000,2845400,A1
c41350,41350,521400,2845400,A1
c41351,41351,521800,2845400,A1
c41511,41511,514200,2845000,A1
c41512,41512,514600,2845000,A1
c41513,41513,515000,2845000,A1
c41514,41514,515400,2845000,A1
c41515,41515,515800,2845000,A1
c41516,41516,516200,2845000,A1
c41517,41517,516600,2845000,A1
c41518,41518,517000,2845000,A1
c41519,41519,517400,2845000,A1
c41520,41520,517800,2845000,A1
c41521,41521,518200,2845000,A1
c41522,41522,518600,2845000,A1
c41523,41523,519000,2845000,A1
c41524,41524,519400,2845000,A1
c41525,41525,519800,2845000,A1
c41526,41526,520200,2845000,A1
c41527,41527,520600,2845000,A1
c41528,41528,521000,2845000,A1
c41529,41529,521400,2845000,A1
c41530,41530,521800,2845000,A1
c41531,41531,522200,2845000,A1
c41688,41688,513800,2844600,A1
c41689,41689,514200,2844600,A1
c41690,41690,514600,2844600,A1
c41691,41691,515000,2844600,A1
c41692,41692,515400,2844600,A1
c41693,41693,515800,2844600,A1
c41694,41694,516200,2844600,A1
c41695,41695,516600,2844600,A1
c41696,41696,517000,2844600,A1
c41697,41697,517400,2844600,A1
c41698,41698,517800,2844600,A1
c41699,41699,518200,2844600,A1
c41700,41700,518600,2844600,A1
c41701,41701,519000,2844600,A1
c41702,41702,519400,2844600,A1
c41703,41703,519800,2844600,A1
c41704,41704,520200,2844600,A1
c41705,41705,520600,2844600,A1
c41706,41706,521000,2844600,A1
c41707,41707,521400,2844600,A1
c41708,41708,521800,2844600,A1
c41709,41709,522200,2844600,A1
c41864,41864,513400,2844200,A1
c41865,41865,513800,2844200,A1
c41866,41866,514200,2844200,A1
c41867,41867,514600,2844200,A1
c41868,41868,515000,2844200,A1
c41869,41869,515400,2844200,A1
c41870,41870,515800,2844200,A1
c41871,41871,516200,2844200,A1
c41872,41872,516600,2844200,A1
c41873,41873,517000,2844200,A1
c41874,41874,517400,2844200,A1
c41875,41875,517800,2844200,A1
c41876,41876,518200,2844200,A1
c41877,41877,518600,2844200,A1
c41878,41878,519000,2844200,A1
c41879,41879,519400,2844200,A1
c41880,41880,519800,2844200,A1
c41881,41881,520200,2844200,A1
c41882,41882,520600,2844200,A1
c41883,41883,521000,2844200,A1
c41884,41884,521400,2844200,A1
c41885,41885,521800,2844200,A1
c41886,41886,522200,2844200,A1
c42041,42041,513400,2843800,A1
c42042,42042,513800,2843800,A1
c42043,42043,514200,2843800,A1
c42044,42044,514600,2843800,A1
c42045,42045,515000,2843800,A1
c42046,42046,515400,2843800,A1
c42047,42047,515800,2843800,A1
c42048,42048,516200,2843800,A1
c42049,42049,516600,2843800,A1
c42050,42050,517000,2843800,A1
c42051,42051,517400,2843800,A1
c42052,42052,517800,2843800,A1
c42053,42053,518200,2843800,A1
c42054,42054,518600,2843800,A1
c42055,42055,519000,2843800,A1
c42056,42056,519400,2843800,A1
c42057,42057,519800,2843800,A1
c42058,42058,520200,2843800,A1
c42059,42059,520600,2843800,A1
c42060,42060,521000,2843800,A1
c42061,42061,521400,2843800,A1
c42062,42062,521800,2843800,A1
c42063,42063,522200,2843800,A1
c42217,42217,513400,2843400,A1
c42218,42218,513800,2843400,A1
c42219,42219,514200,2843400,A1
c42220,42220,514600,2843400,A1
c42221,42221,515000,2843400,A1
c42222,42222,515400,2843400,A1
c42223,42223,515800,2843400,A1
c42224,42224,516200,2843400,A1
c42225,42225,516600,2843400,A1
c42226,42226,517000,2843400,A1
c42227,42227,517400,2843400,A1
c42228,42228,517800,2843400,A1
c42229,42229,518200,2843400,A1
c42230,42230,518600,2843400,A1
c42231,42231,519000,2843400,A1
c42232,42232,519400,2843400,A1
c42233,42233,519800,2843400,A1
c42234,42234,520200,2843400,A1
c42235,42235,520600,2843400,A1
c42236,42236,521000,2843400,A1
c42237,42237,521400,2843400,A1
c42238,42238,521800,2843400,A1
c42391,42391,513000,2843000,A1
c42392,42392,513400,2843000,A1
c42393,42393,513800,2843000,A1
c42394,42394,514200,2843000,A1
c42395,42395,514600,2843000,A1
c42396,42396,515000,2843000,A1
c42397,42397,515400,2843000,A1
c42398,42398,515800,2843000,A1
c42399,42399,516200,2843000,A1
c42400,42400,516600,2843000,A1
c42401,42401,517000,2843000,A1
c42402,42402,517400,2843000,A1
c42403,42403,517800,2843000,A1
c42404,42404,518200,2843000,A1
c42405,42405,518600,2843000,A1
c42406,42406,519000,2843000,A1
c42407,42407,519400,2843000,A1
c42408,42408,519800,2843000,A1
c42409,42409,520200,2843000,A1
c42410,42410,520600,2843000,A1
c42411,42411,521000,2843000,A1
c42412,42412,521400,2843000,A1
c42565,42565,513000,2842600,A1
c42566,42566,513400,2842600,A1
c42567,42567,513800,2842600,A1
c42568,42568,514200,2842600,A1
c42569,42569,514600,2842600,A1
c42570,42570,515000,2842600,A1
c42571,42571,515400,2842600,A1
c42572,42572,515800,2842600,A1
c42573,42573,516200,2842600,A1
c42574,42574,516600,2842600,A1
c42575,42575,517000,2842600,A1
c42576,42576,517400,2842600,A1
c42577,42577,517800,2842600,A1
c42578,42578,518200,2842600,A1
c42579,42579,518600,2842600,A1
c42580,42580,519000,2842600,A1
c42581,42581,519400,2842600,A1
c42582,42582,519800,2842600,A1
c42583,42583,520200,2842600,A1
c42584,42584,520600,2842600,A1
c42585,42585,521000,2842600,A1
c42586,42586,521400,2842600,A1
c42739,42739,513000,2842200,A1
c42740,42740,513400,2842200,A1
c42741,42741,513800,2842200,A1
c42742,42742,514200,2842200,A1
c42743,42743,514600,2842200,A1
c42744,42744,515000,2842200,A1
