X_COORD,Y_COORD
556200,2869400
555800,2869000
556200,2869000
555400,2868600
555800,2868600
555000,2868200
555400,2868200
554600,2867800
555000,2867800
554600,2867400
555000,2867400
554200,2867000
554600,2867000
555000,2867000
553800,2866600
554200,2866600
554600,2866600
555000,2866600
553400,2866200
553800,2866200
554200,2866200
554600,2866200
555000,2866200
553400,2865800
553800,2865800
554200,2865800
554600,2865800
555000,2865800
553000,2865400
553400,2865400
553800,2865400
554200,2865400
554600,2865400
555000,2865400
552600,2865000
553000,2865000
553400,2865000
553800,2865000
554200,2865000
554600,2865000
555000,2865000
552200,2864600
552600,2864600
553000,2864600
553400,2864600
553800,2864600
554200,2864600
554600,2864600
555000,2864600
551800,2864200
552200,2864200
552600,2864200
553000,2864200
553400,2864200
553800,2864200
554200,2864200
554600,2864200
555000,2864200
551800,2863800
552200,2863800
552600,2863800
553000,2863800
553400,2863800
553800,2863800
554200,2863800
554600,2863800
555000,2863800
551800,2863400
552200,2863400
552600,2863400
553000,2863400
553400,2863400
553800,2863400
554200,2863400
554600,2863400
555000,2863400
551800,2863000
552200,2863000
552600,2863000
553000,2863000
553400,2863000
553800,2863000
554200,2863000
554600,2863000
555000,2863000
551800,2862600
552200,2862600
552600,2862600
553000,2862600
553400,2862600
553800,2862600
554200,2862600
554600,2862600
555000,2862600
551800,2862200
552200,2862200
552600,2862200
553000,2862200
553400,2862200
553800,2862200
554200,2862200
554600,2862200
555000,2862200
551800,2861800
552200,2861800
552600,2861800
553000,2861800
553400,2861800
553800,2861800
554200,2861800
554600,2861800
555000,2861800
551800,2861400
552200,2861400
552600,2861400
553000,2861400
553400,2861400
553800,2861400
554200,2861400
554600,2861400
555000,2861400
551800,2861000
552200,2861000
552600,2861000
553000,2861000
553400,2861000
553800,2861000
554200,2861000
554600,2861000
555000,2861000
551800,2860600
552200,2860600
552600,2860600
553000,2860600
553400,2860600
553800,2860600
554200,2860600
554600,2860600
555000,2860600
551800,2860200
552200,2860200
552600,2860200
553000,2860200
553400,2860200
553800,2860200
554200,2860200
554600,2860200
555000,2860200
551800,2859800
552200,2859800
552600,2859800
553000,2859800
553400,2859800
553800,2859800
554200,2859800
554600,2859800
555000,2859800
551800,2859400
552200,2859400
552600,2859400
553000,2859400
553400,2859400
553800,2859400
554200,2859400
554600,2859400
555000,2859400
551800,2859000
552200,2859000
552600,2859000
553000,2859000
553400,2859000
553800,2859000
554200,2859000
554600,2859000
555000,2859000
555400,2859000
551800,2858600
552200,2858600
552600,2858600
553000,2858600
553400,2858600
553800,2858600
554200,2858600
554600,2858600
555000,2858600
555400,2858600
551800,2858200
552200,2858200
552600,2858200
553000,2858200
553400,2858200
553800,2858200
554200,2858200
554600,2858200
555000,2858200
555400,2858200
551800,2857800
552200,2857800
552600,2857800
553000,2857800
553400,2857800
553800,2857800
554200,2857800
554600,2857800
555000,2857800
555400,2857800
551800,2857400
552200,2857400
552600,2857400
553000,2857400
553400,2857400
553800,2857400
554200,2857400
554600,2857400
555000,2857400
555400,2857400
551800,2857000
552200,2857000
552600,2857000
553000,2857000
553400,2857000
553800,2857000
554200,2857000
554600,2857000
555000,2857000
555400,2857000
551800,2856600
552200,2856600
552600,2856600
553000,2856600
553400,2856600
553800,2856600
554200,2856600
554600,2856600
555000,2856600
555400,2856600
551800,2856200
552200,2856200
552600,2856200
553000,2856200
553400,2856200
553800,2856200
554200,2856200
554600,2856200
555000,2856200
555400,2856200
551800,2855800
552200,2855800
552600,2855800
553000,2855800
553400,2855800
553800,2855800
554200,2855800
554600,2855800
555000,2855800
555400,2855800
551800,2855400
552200,2855400
552600,2855400
553000,2855400
553400,2855400
553800,2855400
554200,2855400
554600,2855400
555000,2855400
555400,2855400
551800,2855000
552200,2855000
552600,2855000
553000,2855000
553400,2855000
553800,2855000
554200,2855000
554600,2855000
555000,2855000
