X_COORD,Y_COORD
554600,2927800
555000,2927800
554600,2927400
555000,2927400
555400,2927400
554200,2927000
554600,2927000
555000,2927000
555400,2927000
555800,2927000
553800,2926600
554200,2926600
554600,2926600
555000,2926600
555400,2926600
555800,2926600
553800,2926200
554200,2926200
554600,2926200
555000,2926200
555400,2926200
555800,2926200
556200,2926200
553400,2925800
553800,2925800
554200,2925800
554600,2925800
555000,2925800
555400,2925800
555800,2925800
556200,2925800
556600,2925800
553400,2925400
553800,2925400
554200,2925400
554600,2925400
555000,2925400
555400,2925400
555800,2925400
556200,2925400
556600,2925400
553000,2925000
553400,2925000
553800,2925000
554200,2925000
554600,2925000
555000,2925000
555400,2925000
555800,2925000
556200,2925000
556600,2925000
557000,2925000
552600,2924600
553000,2924600
553400,2924600
553800,2924600
554200,2924600
554600,2924600
555000,2924600
555400,2924600
555800,2924600
556200,2924600
556600,2924600
557000,2924600
557400,2924600
552600,2924200
553000,2924200
553400,2924200
553800,2924200
554200,2924200
554600,2924200
555000,2924200
555400,2924200
555800,2924200
556200,2924200
556600,2924200
557000,2924200
557400,2924200
557800,2924200
552200,2923800
552600,2923800
553000,2923800
553400,2923800
553800,2923800
554200,2923800
554600,2923800
555000,2923800
555400,2923800
555800,2923800
556200,2923800
556600,2923800
557000,2923800
557400,2923800
557800,2923800
552200,2923400
552600,2923400
553000,2923400
553400,2923400
553800,2923400
554200,2923400
554600,2923400
555000,2923400
555400,2923400
555800,2923400
556200,2923400
556600,2923400
557000,2923400
557400,2923400
557800,2923400
558200,2923400
551800,2923000
552200,2923000
552600,2923000
553000,2923000
553400,2923000
553800,2923000
554200,2923000
554600,2923000
555000,2923000
555400,2923000
555800,2923000
556200,2923000
556600,2923000
557000,2923000
557400,2923000
557800,2923000
558200,2923000
558600,2923000
551400,2922600
551800,2922600
552200,2922600
552600,2922600
553000,2922600
553400,2922600
553800,2922600
554200,2922600
554600,2922600
555000,2922600
555400,2922600
555800,2922600
556200,2922600
556600,2922600
557000,2922600
557400,2922600
557800,2922600
558200,2922600
558600,2922600
551400,2922200
551800,2922200
552200,2922200
552600,2922200
553000,2922200
553400,2922200
553800,2922200
554200,2922200
554600,2922200
555000,2922200
555400,2922200
555800,2922200
556200,2922200
556600,2922200
557000,2922200
557400,2922200
557800,2922200
558200,2922200
558600,2922200
559000,2922200
551000,2921800
551400,2921800
551800,2921800
552200,2921800
552600,2921800
553000,2921800
553400,2921800
553800,2921800
554200,2921800
554600,2921800
555000,2921800
555400,2921800
555800,2921800
556200,2921800
556600,2921800
557000,2921800
557400,2921800
557800,2921800
558200,2921800
558600,2921800
559000,2921800
559400,2921800
551000,2921400
551400,2921400
551800,2921400
552200,2921400
552600,2921400
553000,2921400
553400,2921400
553800,2921400
554200,2921400
554600,2921400
555000,2921400
555400,2921400
555800,2921400
556200,2921400
556600,2921400
557000,2921400
557400,2921400
557800,2921400
558200,2921400
558600,2921400
559000,2921400
559400,2921400
559800,2921400
550600,2921000
551000,2921000
551400,2921000
551800,2921000
552200,2921000
552600,2921000
553000,2921000
553400,2921000
553800,2921000
554200,2921000
554600,2921000
555000,2921000
555400,2921000
555800,2921000
556200,2921000
556600,2921000
557000,2921000
557400,2921000
557800,2921000
558200,2921000
558600,2921000
559000,2921000
559400,2921000
559800,2921000
550200,2920600
550600,2920600
551000,2920600
551400,2920600
551800,2920600
552200,2920600
552600,2920600
553000,2920600
553400,2920600
553800,2920600
554200,2920600
554600,2920600
555000,2920600
555400,2920600
555800,2920600
556200,2920600
556600,2920600
557000,2920600
557400,2920600
557800,2920600
558200,2920600
558600,2920600
559000,2920600
559400,2920600
559800,2920600
560200,2920600
550200,2920200
550600,2920200
551000,2920200
551400,2920200
551800,2920200
552200,2920200
552600,2920200
553000,2920200
553400,2920200
553800,2920200
554200,2920200
554600,2920200
555000,2920200
555400,2920200
555800,2920200
556200,2920200
556600,2920200
557000,2920200
557400,2920200
557800,2920200
558200,2920200
558600,2920200
559000,2920200
559400,2920200
559800,2920200
560200,2920200
560600,2920200
549800,2919800
550200,2919800
550600,2919800
551000,2919800
551400,2919800
551800,2919800
552200,2919800
552600,2919800
553000,2919800
553400,2919800
553800,2919800
554200,2919800
554600,2919800
555000,2919800
555400,2919800
555800,2919800
556200,2919800
556600,2919800
557000,2919800
557400,2919800
557800,2919800
558200,2919800
558600,2919800
559000,2919800
559400,2919800
559800,2919800
560200,2919800
560600,2919800
561000,2919800
549800,2919400
550200,2919400
550600,2919400
551000,2919400
551400,2919400
551800,2919400
552200,2919400
552600,2919400
553000,2919400
553400,2919400
553800,2919400
554200,2919400
554600,2919400
555000,2919400
555400,2919400
555800,2919400
556200,2919400
556600,2919400
557000,2919400
557400,2919400
557800,2919400
558200,2919400
558600,2919400
559000,2919400
559400,2919400
559800,2919400
560200,2919400
560600,2919400
561000,2919400
549400,2919000
549800,2919000
550200,2919000
550600,2919000
551000,2919000
551400,2919000
551800,2919000
552200,2919000
552600,2919000
553000,2919000
553400,2919000
553800,2919000
554200,2919000
554600,2919000
555000,2919000
555400,2919000
555800,2919000
556200,2919000
556600,2919000
557000,2919000
557400,2919000
557800,2919000
558200,2919000
558600,2919000
559000,2919000
559400,2919000
559800,2919000
560200,2919000
560600,2919000
561000,2919000
561400,2919000
549400,2918600
549800,2918600
550200,2918600
550600,2918600
551000,2918600
551400,2918600
551800,2918600
552200,2918600
552600,2918600
553000,2918600
553400,2918600
553800,2918600
554200,2918600
554600,2918600
555000,2918600
555400,2918600
555800,2918600
556200,2918600
556600,2918600
557000,2918600
557400,2918600
557800,2918600
558200,2918600
558600,2918600
559000,2918600
559400,2918600
559800,2918600
560200,2918600
560600,2918600
561000,2918600
561400,2918600
561800,2918600
549000,2918200
549400,2918200
549800,2918200
