NWIS_ID,station_name,lat,long
02198920,"SAVANNAH RIVER AT GA 25, AT PORT WENTWORTH, GA",32.1660358,-81.1537237
02110815,"WACCAMAW R NR HAGLEY LAND. NR PAWLEYS ISLAND, SC",33.4446125,-79.1739
02172020,"W BRANCH COOPER R @ PIMLICO NR MONCKS CORNER, SC",33.0935042,-79.949
021720710,"COOPER RVR @ CUSTOMS HOUSE (AUX) @ CHARLESTON, SC",32.7804544,-79.9237
021989791,"LITTLE BACK RIVER AT F&W DOCK, NEAR LIMEHOUSE, SC",32.1707582,-81.1182
021989784,"L BACK RIVER ABOVE LUCKNOW CANAL, NR LIMEHOUSE, SC",32.1857575,-81.1179
02110760,"AIW @ MYRTLEWOOD GOLF COURSE @ MYRTLE BEACH, SC",33.7407276,-78.8667
02110777,"AIW AT HIGHWAY 9 AT NIXONS CROSSROADS, SC",-78.6558
02172040,"BACK RIVER AT DUPONT INTAKE NR KITTREDGE, SC",33.0637825,-79.957
02172050,"COOPER R NR GOOSE CREEK, SC",33.0576713,-79.9362
021720698,"WANDO RIVER ABOVE MT PLEASANT, SC",32.8590638,-79.8962
021720677,"COOPER RIVER @ FILBIN CREEK @ NORTH CHARLESTON, SC",32.8904523,-79.9629
021720709,"COOPER RIVER AT U.S. HWY 17 AT CHARLESTON, SC",-79.9101
02110770,"AIW AT GRAND STRAND AIRPORT N. MYRTLE BEACH, SC",33.8212835,-78.7186
02110755,"AIW AT BRIARCLIFFE ACRES AT N. MYRTLE BEACH, SC",33.7985057,-78.7531
02081094,"ROANOKE RIVER AT JAMESVILLE, NC",35.8130556,-76.8927778
0208114150,"ROANOKE RIVER AT NC 45 NR WESTOVER, NC",35.915,-76.7227778
