state,gage,param,stat,tsid,notes
DE,01481500,00095,00003,67843,start 10/01/2006
DE,01481500,00010,00003,67839,
DE,01482800,00095,00003,118705,
DE,01482800,00010,00003,118712,
FL,02244040,00095,00003,22692,
FL,02244040,00010,00003,22689,
FL,02244040,00065,00003,22683,start 10/01/1996
FL,02277100,00480,00003,23530,23515 through 01/19/2007
FL,02277100,00010,00003,23518,
FL,02277100,00065,00003,23506,start 10/01/2002
FL,02277110,00480,00003,23562,23544 through 12/06/2006
FL,02277110,00010,00003,23547,
FL,02277110,00065,00003,23535,
FL,02290928,00480,00003,273369,
FL,02290928,00010,00003,273370,
FL,02290930,00480,00003,273404,
FL,02290930,00010,00003,273372,
FL,02297350,00095,00003,273381,
FL,02297350,00010,00003,273379,
FL,02297350,00065,00003,24538,
FL,02297460,00095,00003,273407,
FL,02297460,00010,00003,273383,
FL,02297460,00065,00003,24551,
FL,023000095,00095,00003,24906,
FL,023000095,00010,00003,24903,
FL,02301718,00095,00003,25229,
FL,02301718,00010,00003,25226,
FL,02301718,00065,00003,25215,
FL,02301721,00095,00003,25256,
FL,02301721,00010,00003,25253,start 10/01/2004
FL,02304510,00095,00003,25441,
FL,02304510,00010,00003,25447,
FL,02306028,00095,00003,25551,
FL,02306028,00010,00003,25557,
FL,251003080435500,00480,00003,27166,
FL,251003080435500,00010,00003,27160,
FL,251003080435500,00065,00003,27150,
FL,251127080382100,00480,00003,27225,
FL,251127080382100,00010,00003,27217,
FL,251127080382100,00065,00003,27212,
FL,251209080350100,00480,00003,27252,
FL,251209080350100,00010,00003,27245,
FL,251209080350100,00065,00003,27240,
FL,251241080385300,00480,00003,27265,
FL,251241080385300,00010,00003,27271,
FL,251241080385300,00065,00003,27259,
FL,251253080320100,00480,00003,27315,
FL,251253080320100,00010,00003,27309,
FL,251253080320100,00065,00003,27299,
FL,251355080312800,00095,00003,27368,
FL,251433080265000,00480,00003,27390,
FL,251433080265000,00010,00003,27384,
FL,251433080265000,00065,00003,27375,
FL,301124081395901,00095,00003,29972,
FL,301124081395901,00010,00003,29975,
FL,301124081395901,00065,00003,227055,
FL,302309081333001,00095,00003,30169,
